"Name","accuracy_max_disparity","acc","ap_avg","eo2_max_diff","eo_max_diff","max_diff_dp","method","seed","f1","f2","data"
"stoic-pyramid-1748","0.10769230769230775","0.7466666666666667","0.013220524629790849","0.23333333333333336","0.2063492063492064","0.3250620347394541","c-fair(new)","0","100","","german_ss"
"earnest-voice-1780","0.11282051282051286","0.8133333333333334","0.018839877084240453","0.23333333333333336","0.1068376068376068","0.2679900744416873","c-fair(new)","7","10","","german_ss"
"fancy-serenity-1896","0.058064516129032295","0.7533333333333333","0.01904142003570968","0.6666666666666667","0.16666666666666663","0.28784119106699746","fair-scale(new)","8","10","","german_ss"
"light-bird-1958","0.1017369727047146","0.8333333333333334","0.02241520901778848","0.06666666666666671","0.0670995670995671","0.22332506203473945","BFA(ap)","9","1.2","","german_ss"
"ruby-disco-1940","0.14640198511166258","0.8","0.023692842075004605","0.26666666666666666","0.06593406593406603","0.20430107526881724","BFA(ap)","3","1.2","","german_ss"
"icy-planet-1775","0.1042183622828784","0.7733333333333333","0.02437989399396061","0.23333333333333336","0.08791208791208782","0.18095238095238095","c-fair(new)","6","10","","german_ss"
"dutiful-frost-1894","0.18461538461538465","0.7266666666666667","0.024832242579082207","0.6666666666666667","0.4285714285714286","0.4416873449131513","fair-scale(new)","8","0.1","","german_ss"
"colorful-field-1893","0.18461538461538465","0.7266666666666667","0.024832242579082207","0.6666666666666667","0.4285714285714286","0.4416873449131513","fair-scale(new)","8","0.01","","german_ss"
"cool-jazz-1895","0.18461538461538465","0.7333333333333333","0.02536029200338412","0.6666666666666667","0.4285714285714286","0.4416873449131513","fair-scale(new)","8","1","","german_ss"
"lunar-microwave-1939","0.14640198511166258","0.7933333333333333","0.025424679721482032","0.26666666666666666","0.06593406593406603","0.20430107526881724","BFA(ap)","3","1","","german_ss"
"lemon-totem-1954","0.13978494623655913","0.7666666666666667","0.025673368139904108","0.26666666666666666","0.13131313131313127","0.20879120879120872","BFA(ap)","8","1","","german_ss"
"visionary-fog-1865","0.1712158808933003","0.66","0.02623171281550955","0.6666666666666667","0.33333333333333337","0.4666666666666667","fair-scale(new)","1","0.01","","german_ss"
"serene-sky-1786","0.10769230769230775","0.7466666666666667","0.03430014325709986","0.23333333333333336","0.2362637362637363","0.3573200992555831","c-fair(new)","8","100","","german_ss"
