"Name","acc","accuracy_max_disparity","eo2_max_diff","eo_max_diff","max_diff_dp","method","coeff","seed","f1","f2"
"CFair","0.7843554523763462","0.05675323648082531","0.03128054411659256","0.05395394574157564","0.1148357601394491","c-fair","","2","",""
"iconic-wave-611","0.812536273940801","0.05914202667388846","0.036468381861432766","0.011778177843205673","0.04411246040941347","VAE-BFC","","3","2","0.5"
"comic-lake-643","0.812536273940801","0.05914202667388846","0.036468381861432766","0.011778177843205673","0.04411246040941347","VAE-BFC","","3","2","0.5"
"toasty-cloud-574","0.820468175662604","0.05921359746716348","0.0077295413672310576","0.17840883091791904","0.09381684656719784","VAE-BFC","","6","8","0"
"electric-resonance-1082","0.820468175662604","0.05921359746716348","0.0077295413672310576","0.17840883091791904","0.09381684656719784","VAE-BFC","","6","8","0"
"treasured-pyramid-1087","0.8168569033339782","0.060539337076137234","0.003181581058521024","0.20069758520199585","0.09885623377855383","VAE-BFC","","7","2","1"
"sage-firefly-1023","0.8158251112400852","0.06266453727445576","0.007270853254935067","0.15598950328975497","0.08933166844113932","VAE-BFC","","7","1.5","1.5"
"copper-wind-531","0.8236925259560198","0.06341468853415622","0.010439801591674812","0.1275990450813137","0.08615783317649575","VAE-BFC","","3","",""
"soft-totem-538","0.8236925259560198","0.06341468853415622","0.010439801591674812","0.1275990450813137","0.08615783317649575","VAE-BFC","","3","",""
"misty-haze-799","0.8141484490875088","0.06400773317447239","0.030621837909426505","0.01010845676173483","0.04935694965541845","VAE-BFC","","2","2","1"
"smart-lion-573","0.8231766299090734","0.06447728863331548","0.008890187719839446","0.210530451321564","0.11491436975975752","VAE-BFC","","6","7","0"
"treasured-monkey-1015","0.8185335654865544","0.06472646311029584","0.0004026228899143697","0.15387317515085264","0.09772031725701529","VAE-BFC","","7","1","1.5"
"vivid-gorge-1022","0.8171148513574514","0.06510175459750844","0.0009191207433141556","0.16992965216647754","0.09737644709367956","VAE-BFC","","7","1.5","1"
"neat-spaceship-644","0.8144708841168504","0.06527194405007197","0.03289560751841851","0.0014351512686413548","0.0454133294962028","VAE-BFC","","3","2.5","0.5"
"honest-capybara-681","0.8084091055652286","0.06589641001426505","0.043830070401556925","0.028889641258403487","0.027138788888533934","VAE-BFC","","0","2","1"
"dulcet-flower-642","0.8149222931579286","0.06605220271926959","0.032689513685929844","0.029652282029179133","0.04341293239373689","VAE-BFC","","3","1.5","0.5"
"true-cherry-631","0.8083446185593602","0.06686606005617313","0.04086595262512771","0.010034503717296028","0.03283188604413077","VAE-BFC","","0","3.5","0.5"
"prime-butterfly-1014","0.820274714644999","0.06707073037609745","0.005466539649662136","0.1569584037235358","0.1046798026320408","VAE-BFC","","7","1","1"
"honest-hill-628","0.811117559811698","0.06708512712365633","0.034090723154744346","0.02053410275313322","0.04025131653282321","VAE-BFC","","0","2","0.5"
"vague-blaze-608","0.811117559811698","0.06708512712365633","0.034090723154744346","0.02053410275313322","0.04025131653282321","VAE-BFC","","0","2","0.5"
"driven-meadow-630","0.8104726897530148","0.067467401127286","0.036869260232624955","0.002393652055547979","0.03782414126967151","VAE-BFC","","0","3","0.5"
"solar-lake-613","0.8104726897530148","0.067467401127286","0.036869260232624955","0.002393652055547979","0.03782414126967151","VAE-BFC","","0","3","0.5"
"soft-yogurt-1016","0.8172438253691882","0.0678195677214184","0.0021481642609954","0.1400601330692593","0.09251946873861704","VAE-BFC","","7","1","2"
"happy-moon-1017","0.8117624298703812","0.06815820099744119","0.02060643561378424","0.04312502455472178","0.0608998001010663","VAE-BFC","","7","1","2.5"
"quiet-wind-1092","0.814793319146192","0.06828257237856905","0.006064428324824095","0.1433325552856783","0.08665924167394043","VAE-BFC","","7","2","1.5"
"cerulean-meadow-534","0.8240149609853614","0.06846280389103354","0.016539661693304467","0.2175975891307513","0.12314330289769553","VAE-BFC","","6","",""
"polished-firebrand-572","0.8240149609853614","0.06846280389103354","0.016539661693304467","0.2175975891307513","0.12314330289769553","VAE-BFC","","6","6","0"
"breezy-thunder-547","0.8240149609853614","0.06846280389103354","0.016539661693304467","0.2175975891307513","0.12314330289769553","VAE-BFC","","6","",""
"winter-snow-545","0.8240149609853614","0.06846280389103354","0.016539661693304467","0.2175975891307513","0.12314330289769553","VAE-BFC","","6","",""
"still-puddle-541","0.8240149609853614","0.06846280389103354","0.016539661693304467","0.2175975891307513","0.12314330289769553","VAE-BFC","","6","",""
"wobbly-totem-1046","0.8184045914748178","0.06870325022249268","0.022122843474080302","0.019113395438483782","0.05722673368280701","VAE-BFC","","8","1.5","1"
"lucky-glade-575","0.8245953440381764","0.06905017992931217","0.008396729544735956","0.18188057969942703","0.1105727649349738","VAE-BFC","","6","9","0"
"legendary-sun-1018","0.8118269168762494","0.06922603798391325","0.017516231242814387","0.07183671629994426","0.06608450624280139","VAE-BFC","","7","1","3"
"still-sky-629","0.813761527052299","0.06953456385043888","0.013013087018518846","0.10992773400938743","0.07476030166122699","VAE-BFC","","0","2.5","0.5"
"playful-flower-1019","0.8085380795769652","0.06977850144010644","0.02062947529208056","0.04774766759030935","0.05907963451106485","VAE-BFC","","7","1","3.5"
"bumbling-butterfly-632","0.8219513767975752","0.06980250853284153","0.001343880974254752","0.11256982207359711","0.09250026681847008","VAE-BFC","","1","1.5","0.5"
"rare-dust-616","0.8160830592635584","0.06984658097517304","0.012576596403067087","0.09753193269348548","0.07522679757658628","VAE-BFC","","3","3","0.5"
"morning-glitter-645","0.8160830592635584","0.06984658097517304","0.012576596403067087","0.09753193269348548","0.07522679757658628","VAE-BFC","","3","3","0.5"
"northern-violet-856","0.8084091055652286","0.07084459279747424","0.02315541809015384","0.060655362635686494","0.05615454200867703","VAE-BFC","","3","1.5","2"
"different-totem-1024","0.8169213903398466","0.07092140047806217","0.0009881194665670725","0.16151229353812163","0.09606990940485272","VAE-BFC","","7","1.5","2"
"zesty-moon-646","0.818017669439608","0.07131938514363012","0.003251421963226031","0.1870769365875754","0.1007671720819773","VAE-BFC","","3","3.5","0.5"
"visionary-cosmos-634","0.8199522796156574","0.07133684143467289","0.0018154424316040307","0.15798045790800702","0.09781807248685438","VAE-BFC","","1","2.5","0.5"
"stellar-salad-1103","0.8122783259173276","0.07146164453052539","0.004662797765283541","0.1563690904006637","0.08661516923160897","VAE-BFC","","7","4","1"
"deep-monkey-791","0.8175662603985296","0.07170340477636405","0.02152507511055436","0.013977125398942023","0.05640414820038214","VAE-BFC","","2","1.5","1"
"visionary-smoke-675","0.8116334558586444","0.07184391853415506","0.027371197971834557","0.007751781228406307","0.04715974694910019","VAE-BFC","","0","1.5","1"
"winter-frost-1025","0.813374605017089","0.07215069877157643","0.008177762367194003","0.11346130291398104","0.07949814552247449","VAE-BFC","","7","1.5","2.5"
"valiant-dawn-633","0.8211130457212872","0.07222052393574718","0.0054901207303205","0.08122124208760201","0.0836926857877748","VAE-BFC","","1","2","0.5"
"still-pyramid-1112","0.8211130457212872","0.07222052393574718","0.0054901207303205","0.08122124208760201","0.0836926857877748","VAE-BFC","","1","2","0.5"
"elated-terrain-609","0.8211130457212872","0.07222052393574718","0.0054901207303205","0.08122124208760201","0.0836926857877748","VAE-BFC","","1","2","0.5"
"earthy-deluge-849","0.812536273940801","0.07253122714610172","0.012979159137163436","0.07607630567566509","0.07055397370692149","VAE-BFC","","3","1","2.5"
"desert-aardvark-1093","0.8116979428645128","0.07262068594514426","0.005191447093920554","0.13722738481235577","0.08387815418755214","VAE-BFC","","7","2","2"
"confused-vortex-577","0.8248532920616496","0.07273938872423458","0.0031823029283370996","0.12843563889652815","0.09874757305936442","VAE-BFC","","6","11","0"
"polar-voice-638","0.8183401044689496","0.07287466559471267","0.007787772199060891","0.06169301629046908","0.07814665319166134","VAE-BFC","","2","2","0.5"
"rich-leaf-610","0.8183401044689496","0.07287466559471267","0.007787772199060891","0.06169301629046908","0.07814665319166134","VAE-BFC","","2","2","0.5"
"polished-tree-627","0.8151157541755336","0.07303961815996352","0.02337450557933181","0.02772488080849167","0.05155764361994525","VAE-BFC","","0","1.5","0.5"
"floral-bee-1072","0.8151157541755336","0.07303961815996352","0.029266286706478583","0.045327438659416186","0.04306033408487986","VAE-BFC","","6","2","1.5"
"amber-violet-862","0.8131166569936158","0.07311860318438035","0.008200380954764275","0.12078265431342684","0.07933668421543225","VAE-BFC","","3","2","1"
"brisk-lake-854","0.813568066034694","0.07331672270261225","0.025648275188323813","0.018156627926056212","0.04860112979368053","VAE-BFC","","3","1.5","1"
"driven-wildflower-784","0.8171793383633198","0.07402847012201874","0.014932057612911262","0.015121086555105412","0.06515020049770327","VAE-BFC","","2","1","1.5"
"zany-totem-1113","0.8244663700264396","0.07419124534344057","0.004066593453025763","0.12092016075543031","0.09844952096746444","VAE-BFC","","1","4","1"
"tough-dawn-1091","0.8262075191848842","0.07420695600537897","0.01920594801478582","0.2360933610965388","0.12548888407787667","VAE-BFC","","9","8","0"
"whole-meadow-617","0.8184045914748178","0.0742335721566677","0.032906916812203646","0.0806561946074365","0.03685492294248796","VAE-BFC","","4","3","0.5"
"leafy-forest-736","0.8207261236860772","0.07425451970591901","0.01118669622803771","0.05025744903595275","0.07335077185524821","VAE-BFC","","1","2","1"
"graceful-lion-521","0.8207261236860772","0.07425451970591901","0.01118669622803771","0.05025744903595275","0.07335077185524821","VAE-BFC","","1","",""
"vocal-butterfly-885","0.8279486683433288","0.07451373624280022","0.02020543693095604","0.23750713531327208","0.12733523410444214","VAE-BFC","","3","8","0"
"polar-meadow-855","0.8135035790288256","0.0745774423200034","0.02183421585928736","0.023208545274284953","0.05536031830664517","VAE-BFC","","3","1.5","1.5"
"wild-forest-615","0.8198877926097892","0.07521718723141013","0.0023893289353815877","0.11854095265387432","0.09390281410803177","VAE-BFC","","2","3","0.5"
"pleasant-river-640","0.8198877926097892","0.07521718723141013","0.0023893289353815877","0.11854095265387432","0.09390281410803177","VAE-BFC","","2","3","0.5"
"stellar-universe-635","0.8223382988327852","0.0753363217252252","0.003354889970196409","0.1363977240950574","0.09714647453684612","VAE-BFC","","1","3","0.5"
"woven-smoke-614","0.8223382988327852","0.0753363217252252","0.003354889970196409","0.1363977240950574","0.09714647453684612","VAE-BFC","","1","3","0.5"
"clear-morning-544","0.8289159734313536","0.07539567311477025","0.02288092709259232","0.2148353273693284","0.12910826770862832","VAE-BFC","","9","",""
"scarlet-thunder-676","0.8092474366415168","0.07541224720615813","0.0304601390706263","0.010069169206876729","0.04035779990818367","VAE-BFC","","0","1.5","1.5"
"easy-shadow-1100","0.8148578061520604","0.07546287045018196","0.001871688121439674","0.13009842688008283","0.08727454777788736","VAE-BFC","","7","3","1.5"
"feasible-planet-848","0.8142129360933772","0.07555407487832877","0.011635338318726691","0.05115412969977379","0.06966330868943009","VAE-BFC","","3","1","2"
"giddy-meadow-925","0.8176952344102664","0.07558549620220556","0.018457910417880807","0.008775568687356572","0.05857473475541164","VAE-BFC","","4","2","1"
"eager-blaze-527","0.8292384084606952","0.07578667526392124","0.025729425386813946","0.2270404684925365","0.1333743787672037","VAE-BFC","","3","",""
"firm-snow-522","0.820661636680209","0.07580630889879292","0.006122959935743959","0.15836524484235287","0.10113722668187704","VAE-BFC","","1","",""
"atomic-dust-619","0.820661636680209","0.07580630889879292","0.006122959935743959","0.15836524484235287","0.10113722668187704","VAE-BFC","","1","4","0.5"
